task_id,description,category,deadline_days,workload,priority,assigned_user,processed_description
1,Deploy application to production,Deployment,4,1,High,Tester_A,deploy applic product
2,Implement payment module,Development,8,3,Medium,Developer_A,implement payment modul
3,Configure production server,Deployment,24,9,Low,Developer_A,configur product server
4,Write technical documentation,Documentation,14,1,Medium,Developer_A,write technic document
5,Fix application crash issue,Bug Fix,7,4,Medium,DevOps_A,fix applic crash issu
6,Prepare software requirement document,Documentation,1,9,High,Developer_B,prepar softwar requir document
7,Setup CI CD pipeline,Deployment,21,9,Low,Tester_B,setup ci cd pipelin
8,Implement payment module,Development,15,10,Medium,Tester_A,implement payment modul
9,Fix login authentication bug,Bug Fix,25,3,Low,Tester_B,fix login authent bug
10,Test login functionality,Testing,9,3,Medium,Developer_B,test login function
11,Configure cloud infrastructure,Deployment,11,2,Medium,Developer_A,configur cloud infrastructur
12,Execute regression testing,Testing,4,6,High,Tester_A,execut regress test
13,Prepare software requirement document,Documentation,9,1,Medium,Tester_B,prepar softwar requir document
14,Create user manual,Documentation,4,7,High,Developer_A,creat user manual
15,Create user manual,Documentation,10,10,Medium,Tester_A,creat user manual
16,Write technical documentation,Documentation,7,2,Medium,Developer_A,write technic document
17,Configure production server,Deployment,8,5,Medium,Developer_A,configur product server
18,Implement payment module,Development,28,2,Low,Tester_B,implement payment modul
19,Build notification system,Development,15,6,Medium,Developer_B,build notif system
20,Perform payment module testing,Testing,12,4,Medium,Tester_A,perform payment modul test
21,Setup CI CD pipeline,Deployment,30,2,Low,DevOps_A,setup ci cd pipelin
22,Deploy application to production,Deployment,6,9,Medium,Developer_B,deploy applic product
23,Develop user profile page,Development,15,7,Medium,Tester_A,develop user profil page
24,Deploy application to production,Deployment,23,9,Low,Developer_B,deploy applic product
25,Configure production server,Deployment,11,1,Medium,Developer_B,configur product server
26,Resolve payment gateway error,Bug Fix,26,6,Low,Tester_B,resolv payment gateway error
27,Build notification system,Development,3,4,High,DevOps_A,build notif system
28,Setup CI CD pipeline,Deployment,11,4,Medium,Tester_B,setup ci cd pipelin
29,Execute regression testing,Testing,29,8,Low,Developer_B,execut regress test
30,Build notification system,Development,5,4,High,DevOps_A,build notif system
31,Create user manual,Documentation,9,10,Medium,Tester_B,creat user manual
32,Write technical documentation,Documentation,13,6,Medium,Developer_B,write technic document
33,Resolve database connection error,Bug Fix,17,8,Low,Developer_A,resolv databas connect error
34,Configure cloud infrastructure,Deployment,2,2,High,Developer_B,configur cloud infrastructur
35,Deploy application to production,Deployment,6,7,Medium,DevOps_A,deploy applic product
36,Fix application crash issue,Bug Fix,13,7,Medium,DevOps_A,fix applic crash issu
37,Perform API testing,Testing,17,5,Low,DevOps_A,perform api test
38,Fix login authentication bug,Bug Fix,22,2,Low,DevOps_A,fix login authent bug
39,Configure cloud infrastructure,Deployment,9,6,Medium,Developer_A,configur cloud infrastructur
40,Develop search functionality,Development,14,3,Medium,Tester_B,develop search function
41,Fix login authentication bug,Bug Fix,24,5,Low,DevOps_A,fix login authent bug
42,Configure cloud infrastructure,Deployment,6,9,Medium,Developer_A,configur cloud infrastructur
43,Deploy application to production,Deployment,10,9,Medium,DevOps_A,deploy applic product
44,Create admin dashboard,Development,5,6,High,Developer_B,creat admin dashboard
45,Create user manual,Documentation,25,9,Low,Developer_A,creat user manual
46,Prepare software requirement document,Documentation,11,8,Medium,Developer_A,prepar softwar requir document
47,Debug user registration problem,Bug Fix,30,6,Low,Tester_A,debug user registr problem
48,Implement payment module,Development,2,4,High,DevOps_A,implement payment modul
49,Fix application crash issue,Bug Fix,3,8,High,Developer_A,fix applic crash issu
50,Configure cloud infrastructure,Deployment,18,3,Low,Developer_B,configur cloud infrastructur
51,Configure production server,Deployment,16,9,Low,Developer_B,configur product server
52,Build notification system,Development,17,10,Low,Tester_B,build notif system
53,Create admin dashboard,Development,30,9,Low,Developer_B,creat admin dashboard
54,Setup CI CD pipeline,Deployment,10,7,Medium,Tester_A,setup ci cd pipelin
55,Perform API testing,Testing,29,9,Low,Tester_B,perform api test
56,Debug user registration problem,Bug Fix,8,4,Medium,Developer_A,debug user registr problem
57,Test login functionality,Testing,1,10,High,DevOps_A,test login function
58,Implement payment module,Development,19,4,Low,Developer_A,implement payment modul
59,Fix application crash issue,Bug Fix,23,1,Low,Developer_B,fix applic crash issu
60,Fix application crash issue,Bug Fix,29,1,Low,Tester_A,fix applic crash issu
61,Fix application crash issue,Bug Fix,17,4,Low,Tester_A,fix applic crash issu
62,Configure production server,Deployment,16,4,Low,DevOps_A,configur product server
63,Resolve database connection error,Bug Fix,24,10,Low,DevOps_A,resolv databas connect error
64,Prepare project documentation,Documentation,8,8,Medium,Tester_B,prepar project document
65,Create admin dashboard,Development,4,2,High,Tester_B,creat admin dashboard
66,Perform payment module testing,Testing,14,7,Medium,Tester_B,perform payment modul test
67,Deploy backend service,Deployment,2,2,High,Developer_A,deploy backend servic
68,Execute regression testing,Testing,24,6,Low,Developer_A,execut regress test
69,Implement payment module,Development,7,4,Medium,DevOps_A,implement payment modul
70,Perform API testing,Testing,5,7,High,Developer_B,perform api test
71,Build notification system,Development,15,4,Medium,Developer_A,build notif system
72,Perform API testing,Testing,26,9,Low,Developer_A,perform api test
73,Resolve payment gateway error,Bug Fix,21,9,Low,Developer_A,resolv payment gateway error
74,Fix application crash issue,Bug Fix,30,4,Low,Developer_B,fix applic crash issu
75,Test user registration module,Testing,16,8,Low,Developer_B,test user registr modul
76,Execute regression testing,Testing,29,1,Low,Developer_B,execut regress test
77,Execute regression testing,Testing,1,7,High,Tester_A,execut regress test
78,Perform API testing,Testing,10,7,Medium,DevOps_A,perform api test
79,Configure production server,Deployment,23,8,Low,Developer_B,configur product server
80,Create admin dashboard,Development,10,4,Medium,Developer_A,creat admin dashboard
81,Write technical documentation,Documentation,24,9,Low,Developer_A,write technic document
82,Deploy backend service,Deployment,11,1,Medium,Developer_A,deploy backend servic
83,Write technical documentation,Documentation,16,9,Low,DevOps_A,write technic document
84,Develop user profile page,Development,2,9,High,Developer_A,develop user profil page
85,Develop user profile page,Development,3,10,High,Developer_A,develop user profil page
86,Configure production server,Deployment,28,4,Low,Tester_B,configur product server
87,Debug user registration problem,Bug Fix,29,10,Low,Developer_B,debug user registr problem
88,Write technical documentation,Documentation,20,1,Low,DevOps_A,write technic document
89,Fix application crash issue,Bug Fix,14,10,Medium,DevOps_A,fix applic crash issu
90,Update API documentation,Documentation,11,5,Medium,Developer_B,updat api document
91,Configure production server,Deployment,23,6,Low,Developer_B,configur product server
92,Build notification system,Development,13,3,Medium,Tester_A,build notif system
93,Perform API testing,Testing,11,2,Medium,Developer_A,perform api test
94,Perform API testing,Testing,20,10,Low,Developer_A,perform api test
95,Fix application crash issue,Bug Fix,18,4,Low,DevOps_A,fix applic crash issu
96,Build notification system,Development,5,6,High,Developer_A,build notif system
97,Implement payment module,Development,12,5,Medium,Developer_B,implement payment modul
98,Perform API testing,Testing,27,9,Low,Tester_A,perform api test
99,Prepare software requirement document,Documentation,26,9,Low,Developer_A,prepar softwar requir document
100,Configure production server,Deployment,27,9,Low,Tester_A,configur product server
101,Configure production server,Deployment,4,3,High,Tester_A,configur product server
102,Debug user registration problem,Bug Fix,29,2,Low,DevOps_A,debug user registr problem
103,Resolve database connection error,Bug Fix,9,5,Medium,DevOps_A,resolv databas connect error
104,Create admin dashboard,Development,23,6,Low,Developer_B,creat admin dashboard
105,Configure production server,Deployment,21,5,Low,DevOps_A,configur product server
106,Prepare project documentation,Documentation,9,1,Medium,Developer_A,prepar project document
107,Deploy application to production,Deployment,14,5,Medium,Developer_A,deploy applic product
108,Fix login authentication bug,Bug Fix,11,3,Medium,Tester_A,fix login authent bug
109,Develop user profile page,Development,24,8,Low,DevOps_A,develop user profil page
110,Setup CI CD pipeline,Deployment,14,9,Medium,Developer_A,setup ci cd pipelin
111,Debug user registration problem,Bug Fix,3,3,High,DevOps_A,debug user registr problem
112,Resolve payment gateway error,Bug Fix,27,6,Low,DevOps_A,resolv payment gateway error
113,Create user manual,Documentation,5,7,High,Developer_B,creat user manual
114,Resolve payment gateway error,Bug Fix,10,6,Medium,Developer_A,resolv payment gateway error
115,Perform payment module testing,Testing,7,4,Medium,Developer_A,perform payment modul test
116,Perform payment module testing,Testing,25,9,Low,Tester_B,perform payment modul test
117,Prepare software requirement document,Documentation,24,3,Low,Developer_B,prepar softwar requir document
118,Develop user profile page,Development,26,3,Low,Tester_B,develop user profil page
119,Fix login authentication bug,Bug Fix,6,6,Medium,Tester_B,fix login authent bug
120,Configure production server,Deployment,28,4,Low,Tester_A,configur product server
121,Develop user profile page,Development,26,2,Low,Tester_B,develop user profil page
122,Resolve payment gateway error,Bug Fix,28,8,Low,Developer_B,resolv payment gateway error
123,Create admin dashboard,Development,27,8,Low,Tester_A,creat admin dashboard
124,Develop search functionality,Development,27,4,Low,Developer_B,develop search function
125,Fix login authentication bug,Bug Fix,22,4,Low,Tester_B,fix login authent bug
126,Test login functionality,Testing,9,2,Medium,Tester_A,test login function
127,Perform payment module testing,Testing,21,9,Low,Tester_B,perform payment modul test
128,Configure production server,Deployment,27,9,Low,Tester_A,configur product server
129,Fix login authentication bug,Bug Fix,4,5,High,Developer_B,fix login authent bug
130,Write technical documentation,Documentation,9,1,Medium,Developer_A,write technic document
131,Prepare software requirement document,Documentation,14,6,Medium,Tester_A,prepar softwar requir document
132,Test user registration module,Testing,20,9,Low,Developer_A,test user registr modul
133,Execute regression testing,Testing,29,10,Low,Developer_B,execut regress test
134,Build notification system,Development,2,7,High,Developer_A,build notif system
