task_id,description,category,deadline_days,workload,priority,assigned_user
1,Deploy application to production,Deployment,4,1,High,Tester_A
2,Implement payment module,Development,8,3,Medium,Developer_A
3,Configure production server,Deployment,24,9,Low,Developer_A
4,Write technical documentation,Documentation,14,1,Medium,Developer_A
5,Fix application crash issue,Bug Fix,7,4,Medium,DevOps_A
6,Prepare software requirement document,Documentation,1,9,High,Developer_B
7,Setup CI CD pipeline,Deployment,21,9,Low,Tester_B
8,Implement payment module,Development,15,10,Medium,Tester_A
9,Fix login authentication bug,Bug Fix,25,3,Low,Tester_B
10,Test login functionality,Testing,9,3,Medium,Developer_B
11,Configure cloud infrastructure,Deployment,11,2,Medium,Developer_A
12,Execute regression testing,Testing,4,6,High,Tester_A
13,Prepare software requirement document,Documentation,9,1,Medium,Tester_B
14,Create user manual,Documentation,4,7,High,Developer_A
15,Create user manual,Documentation,10,10,Medium,Tester_A
16,Write technical documentation,Documentation,7,2,Medium,Developer_A
17,Configure production server,Deployment,8,5,Medium,Developer_A
18,Implement payment module,Development,28,2,Low,Tester_B
19,Build notification system,Development,15,6,Medium,Developer_B
20,Perform payment module testing,Testing,12,4,Medium,Tester_A
21,Setup CI CD pipeline,Deployment,30,2,Low,DevOps_A
22,Deploy application to production,Deployment,6,9,Medium,Developer_B
23,Develop user profile page,Development,15,7,Medium,Tester_A
24,Deploy application to production,Deployment,23,9,Low,Developer_B
25,Configure production server,Deployment,11,1,Medium,Developer_B
26,Resolve payment gateway error,Bug Fix,26,6,Low,Tester_B
27,Build notification system,Development,3,4,High,DevOps_A
28,Setup CI CD pipeline,Deployment,11,4,Medium,Tester_B
29,Execute regression testing,Testing,29,8,Low,Developer_B
30,Build notification system,Development,5,4,High,DevOps_A
31,Create user manual,Documentation,9,10,Medium,Tester_B
32,Write technical documentation,Documentation,13,6,Medium,Developer_B
33,Resolve database connection error,Bug Fix,17,8,Low,Developer_A
34,Configure cloud infrastructure,Deployment,2,2,High,Developer_B
35,Deploy application to production,Deployment,6,7,Medium,DevOps_A
36,Fix application crash issue,Bug Fix,13,7,Medium,DevOps_A
37,Perform API testing,Testing,17,5,Low,DevOps_A
38,Fix login authentication bug,Bug Fix,22,2,Low,DevOps_A
39,Configure cloud infrastructure,Deployment,9,6,Medium,Developer_A
40,Develop search functionality,Development,14,3,Medium,Tester_B
41,Fix login authentication bug,Bug Fix,24,5,Low,DevOps_A
42,Configure cloud infrastructure,Deployment,6,9,Medium,Developer_A
43,Deploy application to production,Deployment,10,9,Medium,DevOps_A
44,Create admin dashboard,Development,5,6,High,Developer_B
45,Create user manual,Documentation,25,9,Low,Developer_A
46,Prepare software requirement document,Documentation,11,8,Medium,Developer_A
47,Debug user registration problem,Bug Fix,30,6,Low,Tester_A
48,Implement payment module,Development,2,4,High,DevOps_A
49,Fix application crash issue,Bug Fix,3,8,High,Developer_A
50,Configure cloud infrastructure,Deployment,18,3,Low,Developer_B
51,Configure production server,Deployment,16,9,Low,Developer_B
52,Build notification system,Development,17,10,Low,Tester_B
53,Create admin dashboard,Development,30,9,Low,Developer_B
54,Setup CI CD pipeline,Deployment,10,7,Medium,Tester_A
55,Perform API testing,Testing,29,9,Low,Tester_B
56,Debug user registration problem,Bug Fix,8,4,Medium,Developer_A
57,Test login functionality,Testing,1,10,High,DevOps_A
58,Implement payment module,Development,19,4,Low,Developer_A
59,Fix application crash issue,Bug Fix,23,1,Low,Developer_B
60,Fix application crash issue,Bug Fix,29,1,Low,Tester_A
61,Fix application crash issue,Bug Fix,17,4,Low,Tester_A
62,Configure production server,Deployment,16,4,Low,DevOps_A
63,Resolve database connection error,Bug Fix,24,10,Low,DevOps_A
64,Prepare project documentation,Documentation,8,8,Medium,Tester_B
65,Create admin dashboard,Development,4,2,High,Tester_B
66,Perform payment module testing,Testing,14,7,Medium,Tester_B
67,Deploy backend service,Deployment,2,2,High,Developer_A
68,Execute regression testing,Testing,24,6,Low,Developer_A
69,Implement payment module,Development,7,4,Medium,DevOps_A
70,Perform API testing,Testing,5,7,High,Developer_B
71,Build notification system,Development,15,4,Medium,Developer_A
72,Perform API testing,Testing,26,9,Low,Developer_A
73,Resolve payment gateway error,Bug Fix,21,9,Low,Developer_A
74,Fix application crash issue,Bug Fix,30,4,Low,Developer_B
75,Test user registration module,Testing,16,8,Low,Developer_B
76,Execute regression testing,Testing,29,1,Low,Developer_B
77,Execute regression testing,Testing,1,7,High,Tester_A
78,Perform API testing,Testing,10,7,Medium,DevOps_A
79,Configure production server,Deployment,23,8,Low,Developer_B
80,Create admin dashboard,Development,10,4,Medium,Developer_A
81,Write technical documentation,Documentation,24,9,Low,Developer_A
82,Deploy backend service,Deployment,11,1,Medium,Developer_A
83,Write technical documentation,Documentation,16,9,Low,DevOps_A
84,Develop user profile page,Development,2,9,High,Developer_A
85,Develop user profile page,Development,3,10,High,Developer_A
86,Configure production server,Deployment,28,4,Low,Tester_B
87,Debug user registration problem,Bug Fix,29,10,Low,Developer_B
88,Write technical documentation,Documentation,20,1,Low,DevOps_A
89,Fix application crash issue,Bug Fix,14,10,Medium,DevOps_A
90,Update API documentation,Documentation,11,5,Medium,Developer_B
91,Configure production server,Deployment,23,6,Low,Developer_B
92,Build notification system,Development,13,3,Medium,Tester_A
93,Perform API testing,Testing,11,2,Medium,Developer_A
94,Perform API testing,Testing,20,10,Low,Developer_A
95,Fix application crash issue,Bug Fix,18,4,Low,DevOps_A
96,Build notification system,Development,5,6,High,Developer_A
97,Implement payment module,Development,12,5,Medium,Developer_B
98,Perform API testing,Testing,27,9,Low,Tester_A
99,Prepare software requirement document,Documentation,26,9,Low,Developer_A
100,Configure production server,Deployment,27,9,Low,Tester_A
101,Configure production server,Deployment,4,3,High,Tester_A
102,Debug user registration problem,Bug Fix,29,2,Low,DevOps_A
103,Resolve database connection error,Bug Fix,9,5,Medium,DevOps_A
104,Create admin dashboard,Development,23,6,Low,Developer_B
105,Configure production server,Deployment,21,5,Low,DevOps_A
106,Prepare project documentation,Documentation,9,1,Medium,Developer_A
107,Deploy application to production,Deployment,14,5,Medium,Developer_A
108,Fix login authentication bug,Bug Fix,11,3,Medium,Tester_A
109,Develop user profile page,Development,24,8,Low,DevOps_A
110,Setup CI CD pipeline,Deployment,14,9,Medium,Developer_A
111,Debug user registration problem,Bug Fix,3,3,High,DevOps_A
112,Resolve payment gateway error,Bug Fix,27,6,Low,DevOps_A
113,Create user manual,Documentation,5,7,High,Developer_B
114,Resolve payment gateway error,Bug Fix,10,6,Medium,Developer_A
115,Perform payment module testing,Testing,7,4,Medium,Developer_A
116,Perform payment module testing,Testing,25,9,Low,Tester_B
117,Prepare software requirement document,Documentation,24,3,Low,Developer_B
118,Develop user profile page,Development,26,3,Low,Tester_B
119,Fix login authentication bug,Bug Fix,6,6,Medium,Tester_B
120,Configure production server,Deployment,28,4,Low,Tester_A
